item,claimid,itemLabel,P15_literal,P15_recon
https://monumenta.wikibase.cloud/entity/Q278,https://monumenta.wikibase.cloud/entity/statement/Q278-1D42494C-DF43-4EAB-B286-69347932D198,Linguarum totius orbis vocabularia comparativa,Petropoli,Petropoli
https://monumenta.wikibase.cloud/entity/Q293,https://monumenta.wikibase.cloud/entity/statement/Q293-1406B7C7-053D-4523-930C-445E5FC328E8,Dictionnaire Celtique,Besançon,Besançon
https://monumenta.wikibase.cloud/entity/Q300,https://monumenta.wikibase.cloud/entity/statement/Q300-80227562-B17D-4D10-9695-AA85374E6B1F,"Diccionario trilingüe castellano, bascuence y latin dedicado á la M.N. y M.L. provincia de Guipuzcoa",San Sebastian,San Sebastian
https://monumenta.wikibase.cloud/entity/Q304,https://monumenta.wikibase.cloud/entity/statement/Q304-7519ECEC-3F91-4B2C-BB95-F3DAE52BC645,"Diccionario de los nombres euskaros de las plantas en correspondencia con los vulgares, castellanos y franceses y científicos latinos",Iruñea,Iruñea
https://monumenta.wikibase.cloud/entity/Q309,https://monumenta.wikibase.cloud/entity/statement/Q309-83C8972A-98FB-4182-B619-55E94B0FC468,Diccionario Bascongado,Loiola,Loiola
https://monumenta.wikibase.cloud/entity/Q312,https://monumenta.wikibase.cloud/entity/statement/Q312-C9C06202-20EF-48D2-8089-C49BABB640A4,Colección alfabética de apellidos vascongados con su significado,México,México
https://monumenta.wikibase.cloud/entity/Q313,https://monumenta.wikibase.cloud/entity/statement/Q313-E8EB1E0A-835D-4F90-86EE-34F31AECE0C0,"Commentatio qua trinarum linguarum vasconum, belgarum et celtarum, quarum reliquiae in linguis vasconica, cymry et galic supersunt, discrimen et diversa cuiusque indoles docetur",Gottingae,Gottingae
https://monumenta.wikibase.cloud/entity/Q319,https://monumenta.wikibase.cloud/entity/statement/Q319-E8F9949B-63EE-4BEB-B381-BDD2BBDBEA9A,Vocabulario vasco: (ensayo de una interpretación de la lengua vasca),San Cugat del Vallés,San Cugat del Vallés
https://monumenta.wikibase.cloud/entity/Q324,https://monumenta.wikibase.cloud/entity/statement/Q324-C2E0BBF7-859A-4578-A692-6688990A8009,Textos arcaicos vascos,Madrid,Madrid
https://monumenta.wikibase.cloud/entity/Q325,https://monumenta.wikibase.cloud/entity/statement/Q325-B282C7FC-2AC3-4F94-BC75-1905F4CD821F,Quelques extraits du vocabulaire basque,Don Ibanen,Don Ibanen
https://monumenta.wikibase.cloud/entity/Q326,https://monumenta.wikibase.cloud/entity/statement/Q326-F59BC5E3-BAF4-4376-AF79-41F08C5C495E,Vocabulario vasco-castellano,Bermeo,Bermeo
https://monumenta.wikibase.cloud/entity/Q332,https://monumenta.wikibase.cloud/entity/statement/Q332-23246E26-9233-4A04-BC48-D7743F0B5B30,Origine des noms Patronymiques Français (donnant l'etymologie de 10000 noms de famille). Suivi d'une étude sur les noms de famille basques,París,París
https://monumenta.wikibase.cloud/entity/Q333,https://monumenta.wikibase.cloud/entity/statement/Q333-FC9DAFEC-1B7D-4B6A-AF4E-8045EDCD5AF9,Nombres vulgares de animales y de plantas usados en Álava y no incluídos en el Diccionario de la Real Academia Española (décimotercera edición),Madrid,Madrid
https://monumenta.wikibase.cloud/entity/Q339,https://monumenta.wikibase.cloud/entity/statement/Q339-78D03CE3-54BB-4590-AC18-0B4A218E1552,"Manual de conversación castellano-euskera: con extensos vocabularios de nombres, verbos y modismos, diálogos, cartas, refranes, anuncios y un compendio de gramática",Tolosa'n,Tolosa'n
https://monumenta.wikibase.cloud/entity/Q344,https://monumenta.wikibase.cloud/entity/statement/Q344-06F1E59E-E31B-4F23-9145-6947F6ABF03A,Los nombres de parentesco en vascuence,Bermeo,Bermeo
https://monumenta.wikibase.cloud/entity/Q357,https://monumenta.wikibase.cloud/entity/statement/Q357-2A9B3F99-AB08-4813-BC7C-DEB880327304,El vocabulario euzkerico,Laudio,Laudio
https://monumenta.wikibase.cloud/entity/Q360,https://monumenta.wikibase.cloud/entity/statement/Q360-4D14766D-4A61-420B-808D-5B8EF615E0AC,Dictionnaire français-basque grammaire basque,Versailles [u.a.],Versailles [u.a.]
https://monumenta.wikibase.cloud/entity/Q796,https://monumenta.wikibase.cloud/entity/statement/Q796-3386E071-3F73-41FE-B7F6-C1498D0125F2,Luzaideko euskararen hiztegia,"Iruña, Bilbo","Iruña, Bilbo"
